PLAY #,ODK,DN,DIST,YARD LN,PLAY TYPE,GN/LS,OFF FORM,BITZ Y/N
147,D,3,8,18,Run,-10,LUCY,Y
183,D,1,10,-35,Run,-10,LUCY,N
18,D,1,10,-44,Pass,-6,RICKY X,N
25,D,2,8,8,Run,-5,RICKY OVER,N
59,D,2,6,-24,Run,-5,LUCY OVER,N
184,D,1,20,-25,Pass,-5,LUCY,Y
90,D,3,2,37,Run,-4,RICKY OVER,Y
22,D,1,10,26,Run,-3,RICKY,N
85,D,3,3,-39,Run,-2,LUCY OVER,N
148,D,3,18,28,Pass,-2,RICKY OVER,Y
63,D,3,6,-24,Pass,-1,RICKY OVER,Y
83,D,1,10,-32,Run,-1,LUCY,Y
129,D,2,5,-40,Run,-1,RICKY OVER,N
187,D,1,10,45,Run,-1,LUCY,Y
195,D,1,10,46,Run,-1,LUCY,N
26,D,2,13,13,Pass,0,RICKY OVER,Y
61,D,3,6,-24,,0,RICKY,N
69,D,1,10,36,Pass,0,RICKY OVER,Y
88,D,1,10,45,Pass,0,RICKY OVER,Y
131,D,1,10,47,Pass,0,RICKY OVER,Y
145,D,1,10,20,Pass,0,TRIPS,N
149,D,4,20,30,Pass,0,RICKY OVER,Y
166,D,1,10,-4,Pass,0,RICKY,Y
168,D,3,6,-8,Pass,0,RICKY OVER,Y
188,D,2,11,46,Run,0,RICKY OVER,N
143,D,1,10,-30,Run,1,RICKY,N
24,D,1,10,10,Run,2,RICKY OVER,N
104,D,1,10,-26,Run,2,RICKY OVER,N
146,D,2,10,20,Run,2,RICKY,N
7,D,1,10,29,Run,3,LUCY OVER,N
70,D,2,10,36,Run,3,RICKY OVER,N
105,D,2,8,-28,Run,3,RICKY OVER,N
132,D,2,10,47,Run,3,RICKY OVER,N
133,D,3,7,44,Pass,4,RICKY OVER,N
167,D,2,10,-4,Run,4,RICKY,N
185,D,1,25,-20,Run,6,LUCY,N
189,D,3,11,46,Pass,7,LUCY,Y
107,D,1,10,24,Pass,24,RICKY OVER,N
190,D,4,4,39,Pass,3,RICKY OVER LIZ,N
58,D,1,10,-20,Run,4,LUCY X,N
91,D,4,6,41,Pass,4,RICKY OVER,N
60,D,2,11,-19,Run,5,LUCY OVER,N
68,D,2,1,41,Run,5,LUCY,N
71,D,3,7,33,Run,5,LUCY,Y
86,D,4,5,-37,Pass,5,RICKY,N
128,D,1,10,-35,Pass,5,RICKY OVER,N
20,D,1,10,40,Run,6,LUCY OVER,N
28,D,1,7,6,Run,6,RICKY OVER,N
72,D,4,2,28,Run,6,RICKY,N
75,D,1,6,6,Run,6,RICKY,N
3,D,1,10,-20,Run,7,LUCY OVER,N
5,D,1,10,50,Run,7,LUCY OVER,N
27,D,3,13,13,Run,7,RICKY OVER,N
21,D,2,4,34,Run,8,LUCY OVER,N
73,D,1,10,22,Pass,8,RICKY,N
74,D,2,2,14,Run,8,RICKY,Y
84,D,2,11,-31,Run,8,LUCY OVER,Y
89,D,2,10,45,Run,8,RICKY OVER,Y
67,D,1,10,50,Run,9,TRIPS,N
103,D,1,10,-16,Run,10,RICKY OVER,Y
2,D,1,10,-9,Run,11,TRIPS,N
87,D,1,10,-42,Pass,13,LUCY OVER,Y
6,D,2,3,43,Run,14,RICKY,N
130,D,3,6,-39,Run,14,RICKY OVER,N
102,D,1,10,-1,Run,15,RICKY OVER,Y
182,D,1,10,-20,Run,15,LUCY,N
23,D,1,13,29,Run,19,LUCY,N
19,D,2,16,-38,Run,22,LUCY,Y
4,D,2,3,-27,Run,23,LUCY OVER,N
8,D,2,7,26,Pass,26,RICKY OVER,N
186,D,2,19,-26,Run,29,LUCY,Y
134,D,4,3,40,Run,33,RICKY OVER,Y
106,D,3,5,-31,Run,45,RICKY OVER,N
144,D,2,9,-31,Pass,49,TRIPS,N
135,D,1,7,7,Run,7,RICKY OVER,N
